="",="(1)",="",="(2)",=""
="",="",="",="",=""
="",="b",="se",="b",="se"
="out_1anycomm",="0.06",="0.00",="0.12",="0.00"
="out_2anymarket",="0.01",="0.00",="0.08",="0.00"
="out_3onlymed",="0.93",="0.00",="0.80",="0.00"
="out_4enroldur",="10.66",="0.01",="8.96",="0.03"
="out_5disrupt",="0.08",="0.00",="0.21",="0.00"
="out_6countdisrupt",="0.11",="0.00",="0.32",="0.00"
="out_7countgaps",="0.02",="0.00",="0.07",="0.00"
="out_8gapdur",="0.06",="0.00",="0.27",="0.01"
="out_9countswitch",="0.09",="0.00",="0.26",="0.00"
="out_10anyswitch",="0.07",="0.00",="0.20",="0.00"
="out_11anygap",="0.02",="0.00",="0.06",="0.00"
="N",="109887",="",="20820",=""
